Num.Layers;PTWD;FTWD;INSWORD;Evaluation.Set;Accuracy
3;0.1;0.0001;-4.0;Train.Set;75.13
3;0.1;0.0001;-4.0;Test.Set;69.52
3;0.1;0.0001;-2.0;Train.Set;75.36
3;0.1;0.0001;-2.0;Test.Set;69.40
3;0.1;0.0001;0.0;Train.Set;74.95
3;0.1;0.0001;0.0;Test.Set;68.59
3;0.1;0.00001;-8.0;Train.Set;-e
3;0.1;0.00001;-8.0;Test.Set;-e
3;0.1;0.00001;-4.0;Train.Set;-e
3;0.1;0.00001;-4.0;Test.Set;-e
3;0.1;0.00001;-2.0;Train.Set;-e
3;0.1;0.00001;-2.0;Test.Set;-e
3;0.1;0.00001;0.0;Train.Set;-e
3;0.1;0.00001;0.0;Test.Set;-e
3;0.1;0.000001;-8.0;Train.Set;75.04
3;0.1;0.000001;-8.0;Test.Set;69.32
3;0.1;0.000001;-4.0;Train.Set;76.54
3;0.1;0.000001;-4.0;Test.Set;70.17
3;0.1;0.000001;-2.0;Train.Set;76.66
3;0.1;0.000001;-2.0;Test.Set;70.07
3;0.1;0.000001;0.0;Train.Set;76.12
3;0.1;0.000001;0.0;Test.Set;69.14
3;0.01;0.1;-8.0;Train.Set;67.69
3;0.01;0.1;-8.0;Test.Set;65.25
3;0.01;0.1;-4.0;Train.Set;69.45
3;0.01;0.1;-4.0;Test.Set;66.91
3;0.01;0.1;-2.0;Train.Set;69.67
3;0.01;0.1;-2.0;Test.Set;66.97
3;0.01;0.1;0.0;Train.Set;69.09
3;0.01;0.1;0.0;Test.Set;66.36
3;0.01;0.01;-8.0;Train.Set;74.05
3;0.01;0.01;-8.0;Test.Set;69.03
3;0.01;0.01;-4.0;Train.Set;75.48
3;0.01;0.01;-4.0;Test.Set;69.98
3;0.01;0.01;-2.0;Train.Set;75.65
3;0.01;0.01;-2.0;Test.Set;69.71
3;0.01;0.01;0.0;Train.Set;75.09
3;0.01;0.01;0.0;Test.Set;68.85
3;0.01;0.001;-8.0;Train.Set;76.65
3;0.01;0.001;-8.0;Test.Set;69.97
3;0.01;0.001;-4.0;Train.Set;78.08
3;0.01;0.001;-4.0;Test.Set;70.64
3;0.01;0.001;-2.0;Train.Set;78.27
3;0.01;0.001;-2.0;Test.Set;70.46
3;0.01;0.001;0.0;Train.Set;77.69
3;0.01;0.001;0.0;Test.Set;69.56
3;0.01;0.0001;-8.0;Train.Set;76.62
3;0.01;0.0001;-8.0;Test.Set;69.75
3;0.01;0.0001;-4.0;Train.Set;78.12
3;0.01;0.0001;-4.0;Test.Set;70.58
3;0.01;0.0001;-2.0;Train.Set;78.17
3;0.01;0.0001;-2.0;Test.Set;70.30
3;0.01;0.0001;0.0;Train.Set;77.61
3;0.01;0.0001;0.0;Test.Set;69.41
3;0.01;0.00001;-8.0;Train.Set;77.62
3;0.01;0.00001;-8.0;Test.Set;70.10
3;0.01;0.00001;-4.0;Train.Set;79.07
3;0.01;0.00001;-4.0;Test.Set;70.76
3;0.01;0.00001;-2.0;Train.Set;79.22
3;0.01;0.00001;-2.0;Test.Set;70.53
3;0.01;0.00001;0.0;Train.Set;78.80
3;0.01;0.00001;0.0;Test.Set;69.61
3;0.01;0.000001;-8.0;Train.Set;76.52
3;0.01;0.000001;-8.0;Test.Set;69.87
3;0.01;0.000001;-4.0;Train.Set;77.92
3;0.01;0.000001;-4.0;Test.Set;70.56
3;0.01;0.000001;-2.0;Train.Set;78.02
3;0.01;0.000001;-2.0;Test.Set;70.15
3;0.01;0.000001;0.0;Train.Set;77.58
3;0.01;0.000001;0.0;Test.Set;69.16
3;0.001;0.1;-8.0;Train.Set;68.11
3;0.001;0.1;-8.0;Test.Set;65.87
3;0.001;0.1;-4.0;Train.Set;70.21
3;0.001;0.1;-4.0;Test.Set;67.44
3;0.001;0.1;-2.0;Train.Set;70.33
3;0.001;0.1;-2.0;Test.Set;67.72
3;0.001;0.1;0.0;Train.Set;69.82
3;0.001;0.1;0.0;Test.Set;66.86
3;0.001;0.01;-8.0;Train.Set;74.93
3;0.001;0.01;-8.0;Test.Set;69.45
3;0.001;0.01;-4.0;Train.Set;76.32
3;0.001;0.01;-4.0;Test.Set;70.16
3;0.001;0.01;-2.0;Train.Set;76.48
3;0.001;0.01;-2.0;Test.Set;70.06
3;0.001;0.01;0.0;Train.Set;76.07
3;0.001;0.01;0.0;Test.Set;69.16
3;0.001;0.001;-8.0;Train.Set;77.51
3;0.001;0.001;-8.0;Test.Set;70.01
3;0.001;0.001;-4.0;Train.Set;78.95
3;0.001;0.001;-4.0;Test.Set;70.59
3;0.001;0.001;-2.0;Train.Set;79.02
3;0.001;0.001;-2.0;Test.Set;70.41
3;0.001;0.001;0.0;Train.Set;78.69
3;0.001;0.001;0.0;Test.Set;69.42
3;0.001;0.0001;-8.0;Train.Set;76.03
3;0.001;0.0001;-8.0;Test.Set;69.47
3;0.001;0.0001;-4.0;Train.Set;77.55
3;0.001;0.0001;-4.0;Test.Set;70.19
3;0.001;0.0001;-2.0;Train.Set;77.93
3;0.001;0.0001;-2.0;Test.Set;70.22
3;0.001;0.0001;0.0;Train.Set;77.56
3;0.001;0.0001;0.0;Test.Set;69.29
3;0.001;0.00001;-8.0;Train.Set;75.16
3;0.001;0.00001;-8.0;Test.Set;69.47
3;0.001;0.00001;-4.0;Train.Set;76.64
3;0.001;0.00001;-4.0;Test.Set;70.23
3;0.001;0.00001;-2.0;Train.Set;76.69
3;0.001;0.00001;-2.0;Test.Set;69.91
3;0.001;0.00001;0.0;Train.Set;76.28
3;0.001;0.00001;0.0;Test.Set;68.91
3;0.001;0.000001;-8.0;Train.Set;76.60
3;0.001;0.000001;-8.0;Test.Set;70.03
3;0.001;0.000001;-4.0;Train.Set;78.02
3;0.001;0.000001;-4.0;Test.Set;70.64
3;0.001;0.000001;-2.0;Train.Set;78.26
3;0.001;0.000001;-2.0;Test.Set;70.37
3;0.001;0.000001;0.0;Train.Set;77.67
3;0.001;0.000001;0.0;Test.Set;69.28
3;0.0001;0.1;-8.0;Train.Set;68.35
3;0.0001;0.1;-8.0;Test.Set;65.71
3;0.0001;0.1;-4.0;Train.Set;70.17
3;0.0001;0.1;-4.0;Test.Set;67.23
3;0.0001;0.1;-2.0;Train.Set;70.48
3;0.0001;0.1;-2.0;Test.Set;67.49
3;0.0001;0.1;0.0;Train.Set;69.91
3;0.0001;0.1;0.0;Test.Set;66.68
3;0.0001;0.01;-8.0;Train.Set;75.75
3;0.0001;0.01;-8.0;Test.Set;69.89
3;0.0001;0.01;-4.0;Train.Set;77.33
3;0.0001;0.01;-4.0;Test.Set;70.69
3;0.0001;0.01;-2.0;Train.Set;77.50
3;0.0001;0.01;-2.0;Test.Set;70.64
3;0.0001;0.01;0.0;Train.Set;77.16
3;0.0001;0.01;0.0;Test.Set;69.91
3;0.0001;0.001;-8.0;Train.Set;77.16
3;0.0001;0.001;-8.0;Test.Set;70.11
3;0.0001;0.001;-4.0;Train.Set;78.76
3;0.0001;0.001;-4.0;Test.Set;70.82
3;0.0001;0.001;-2.0;Train.Set;79.05
3;0.0001;0.001;-2.0;Test.Set;70.54
3;0.0001;0.001;0.0;Train.Set;78.67
3;0.0001;0.001;0.0;Test.Set;69.75
3;0.0001;0.0001;-8.0;Train.Set;75.84
3;0.0001;0.0001;-8.0;Test.Set;69.47
3;0.0001;0.0001;-4.0;Train.Set;77.44
3;0.0001;0.0001;-4.0;Test.Set;70.29
3;0.0001;0.0001;-2.0;Train.Set;77.64
3;0.0001;0.0001;-2.0;Test.Set;70.13
3;0.0001;0.0001;0.0;Train.Set;77.25
3;0.0001;0.0001;0.0;Test.Set;69.24
3;0.0001;0.00001;-8.0;Train.Set;78.08
3;0.0001;0.00001;-8.0;Test.Set;70.41
3;0.0001;0.00001;-4.0;Train.Set;79.49
3;0.0001;0.00001;-4.0;Test.Set;70.93
3;0.0001;0.00001;-2.0;Train.Set;79.63
3;0.0001;0.00001;-2.0;Test.Set;70.73
3;0.0001;0.00001;0.0;Train.Set;79.20
3;0.0001;0.00001;0.0;Test.Set;69.64
3;0.0001;0.000001;-8.0;Train.Set;78.23
3;0.0001;0.000001;-8.0;Test.Set;70.20
3;0.0001;0.000001;-4.0;Train.Set;79.58
3;0.0001;0.000001;-4.0;Test.Set;70.83
3;0.0001;0.000001;-2.0;Train.Set;79.81
3;0.0001;0.000001;-2.0;Test.Set;70.61
3;0.0001;0.000001;0.0;Train.Set;79.53
3;0.0001;0.000001;0.0;Test.Set;69.82
3;0.00001;0.1;-8.0;Train.Set;68.66
3;0.00001;0.1;-8.0;Test.Set;66.28
3;0.00001;0.1;-4.0;Train.Set;70.67
3;0.00001;0.1;-4.0;Test.Set;67.75
3;0.00001;0.1;-2.0;Train.Set;70.81
3;0.00001;0.1;-2.0;Test.Set;68.11
3;0.00001;0.1;0.0;Train.Set;70.31
3;0.00001;0.1;0.0;Test.Set;67.31
3;0.00001;0.01;-8.0;Train.Set;75.16
3;0.00001;0.01;-8.0;Test.Set;69.38
3;0.00001;0.01;-4.0;Train.Set;76.66
3;0.00001;0.01;-4.0;Test.Set;70.12
3;0.00001;0.01;-2.0;Train.Set;76.88
3;0.00001;0.01;-2.0;Test.Set;70.00
3;0.00001;0.01;0.0;Train.Set;76.33
3;0.00001;0.01;0.0;Test.Set;69.00
3;0.00001;0.001;-8.0;Train.Set;76.74
3;0.00001;0.001;-8.0;Test.Set;69.88
3;0.00001;0.001;-4.0;Train.Set;78.33
3;0.00001;0.001;-4.0;Test.Set;70.68
3;0.00001;0.001;-2.0;Train.Set;78.57
3;0.00001;0.001;-2.0;Test.Set;70.59
3;0.00001;0.001;0.0;Train.Set;78.12
3;0.00001;0.001;0.0;Test.Set;69.55
3;0.00001;0.0001;-8.0;Train.Set;76.87
