Num.Layers;PTWD;FTWD;TrainAcc;CVAcc
6;0.01;0.00001;72.54;62.44
6;0.01;0.000001;72.54;62.44
6;0.001;0.1;64.43;60.64
6;0.001;0.01;71.90;63.07
6;0.001;0.001;73.44;62.51
6;0.001;0.0001;73.56;62.39
6;0.001;0.00001;72.92;62.37
6;0.001;0.000001;73.58;62.37
6;0.0001;0.1;64.42;60.64
6;0.0001;0.01;71.92;63.01
6;0.0001;0.001;73.03;62.70
6;0.0001;0.0001;74.24;62.52
6;0.0001;0.00001;73.45;62.55
6;0.0001;0.000001;73.57;62.33
6;0.00001;0.1;64.42;60.64
6;0.00001;0.01;71.36;63.02
6;0.00001;0.001;72.80;62.45
6;0.00001;0.0001;73.42;62.49
6;0.00001;0.00001;72.92;62.38
6;0.00001;0.000001;72.92;62.38
6;0.000001;0.1;64.43;60.66
6;0.000001;0.01;71.38;63.00
6;0.000001;0.001;72.39;62.56
6;0.000001;0.0001;72.98;62.31
6;0.000001;0.00001;72.97;62.29
6;0.000001;0.000001;74.17;62.43
7;0.1;0.1;64.45;60.50
7;0.1;0.01;70.87;62.91
7;0.1;0.001;70.92;62.60
7;0.1;0.0001;71.30;62.62
7;0.1;0.00001;71.30;62.71
7;0.1;0.000001;71.30;62.63
7;0.01;0.1;64.83;61.00
7;0.01;0.01;71.52;62.68
7;0.01;0.001;73.21;62.52
7;0.01;0.0001;74.22;62.54
7;0.01;0.00001;74.24;62.53
7;0.01;0.000001;74.24;62.53
7;0.001;0.1;64.72;60.67
7;0.001;0.01;72.33;63.11
7;0.001;0.001;73.05;62.41
7;0.001;0.0001;73.18;62.33
7;0.001;0.00001;73.19;62.37
7;0.001;0.000001;73.19;62.32
7;0.0001;0.1;64.71;60.72
7;0.0001;0.01;71.76;62.76
7;0.0001;0.001;73.07;62.31
7;0.0001;0.0001;73.20;62.19
7;0.0001;0.00001;73.87;62.13
7;0.0001;0.000001;73.87;62.10
7;0.00001;0.1;64.72;60.75
7;0.00001;0.01;72.75;63.08
7;0.00001;0.001;73.09;62.40
7;0.00001;0.0001;73.21;62.30
7;0.00001;0.00001;73.22;62.30
7;0.00001;0.000001;73.22;62.25
7;0.000001;0.1;64.71;60.71
7;0.000001;0.01;71.79;62.76
7;0.000001;0.001;73.11;62.43
7;0.000001;0.0001;73.78;62.42
7;0.000001;0.00001;73.79;62.35
7;0.000001;0.000001;73.79;62.34
