Feature.Type;Context;INSWORD;Evaluation.Set;Acc
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-16.0;Train.Subset;62.89
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-16.0;Test.Set;58.45
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-8.0;Train.Subset;68.38
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-8.0;Test.Set;63.17
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-4.0;Train.Subset;70.69
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-4.0;Test.Set;64.79
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-2.0;Train.Subset;70.96
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;-2.0;Test.Set;64.86
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;0.0;Train.Subset;70.16
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;0.0;Test.Set;63.61
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;2.0;Train.Subset;66.97
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;2.0;Test.Set;60.07
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;4.0;Train.Subset;59.46
MFC_E_Z;-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9;4.0;Test.Set;51.98
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-32.0;Train.Subset;53.84
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-32.0;Test.Set;50.05
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-16.0;Train.Subset;63.29
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-16.0;Test.Set;58.41
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-8.0;Train.Subset;69.02
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-8.0;Test.Set;63.37
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-4.0;Train.Subset;71.39
MFC_E_Z;-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10;-4.0;Test.Set;65.08
